PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0,3,"Passenger, Name 1",male,35.0,0,0,A/5 5286,14.78,nan,S
2,1,1,"Passenger, Name 2",female,22.0,0,2,A/5 4738,66.23,nan,S
3,1,1,"Passenger, Name 3",male,4.0,0,0,A/5 3469,13.62,C85,S
4,0,3,"Passenger, Name 4",female,54.0,1,0,A/5 5795,111.13,nan,Q
5,0,3,"Passenger, Name 5",male,35.0,0,0,A/5 7150,24.71,G6,S
6,0,1,"Passenger, Name 6",female,54.0,0,0,A/5 1556,67.42,nan,S
7,0,1,"Passenger, Name 7",male,,1,0,A/5 3808,39.21,nan,S
8,1,3,"Passenger, Name 8",male,35.0,1,0,A/5 6150,50.04,C123,C
9,1,1,"Passenger, Name 9",female,14.0,0,0,A/5 8561,54.21,nan,S
10,1,1,"Passenger, Name 10",male,4.0,0,0,A/5 3719,29.99,nan,S
11,0,3,"Passenger, Name 11",male,22.0,0,0,A/5 7506,32.58,nan,S
12,1,3,"Passenger, Name 12",female,,1,0,A/5 4741,30.59,nan,S
13,1,3,"Passenger, Name 13",female,4.0,0,0,A/5 4998,35.88,nan,S
14,0,1,"Passenger, Name 14",male,14.0,0,0,A/5 3403,8.45,nan,C
15,0,3,"Passenger, Name 15",female,4.0,1,0,A/5 9780,23.61,nan,S
16,0,1,"Passenger, Name 16",male,14.0,1,0,A/5 1294,37.32,C85,S
17,0,2,"Passenger, Name 17",male,14.0,0,0,A/5 6343,36.64,nan,S
18,0,3,"Passenger, Name 18",male,54.0,1,0,A/5 2136,57.89,nan,S
19,0,3,"Passenger, Name 19",female,27.0,0,0,A/5 3064,41.56,nan,S
20,0,3,"Passenger, Name 20",female,,1,2,A/5 8009,162.54,G6,S
21,1,3,"Passenger, Name 21",female,4.0,0,0,A/5 5543,18.18,C85,S
22,0,3,"Passenger, Name 22",female,26.0,0,0,A/5 2007,21.74,nan,S
23,0,1,"Passenger, Name 23",male,,1,0,A/5 6445,23.0,nan,S
24,0,2,"Passenger, Name 24",male,27.0,0,0,A/5 6352,27.56,nan,S
25,0,2,"Passenger, Name 25",male,,0,0,A/5 2435,65.35,C85,S
26,1,1,"Passenger, Name 26",male,38.0,1,0,A/5 1571,16.11,E46,C
27,0,3,"Passenger, Name 27",male,26.0,1,0,A/5 3382,55.38,nan,S
28,0,2,"Passenger, Name 28",female,27.0,0,0,A/5 6084,24.13,C123,S
29,0,3,"Passenger, Name 29",male,54.0,0,0,A/5 1277,36.97,C85,C
30,0,3,"Passenger, Name 30",male,4.0,0,0,A/5 8059,39.54,nan,S
31,1,3,"Passenger, Name 31",male,2.0,0,0,A/5 2887,22.43,nan,C
32,0,3,"Passenger, Name 32",female,27.0,0,0,A/5 2265,30.5,nan,S
33,0,3,"Passenger, Name 33",female,22.0,0,0,A/5 8491,24.55,nan,Q
34,1,2,"Passenger, Name 34",male,4.0,2,0,A/5 2040,9.79,E46,S
35,1,1,"Passenger, Name 35",male,27.0,0,0,A/5 9073,25.89,nan,S
36,1,3,"Passenger, Name 36",female,38.0,0,0,A/5 3752,10.78,nan,S
37,0,2,"Passenger, Name 37",male,2.0,0,0,A/5 9213,24.12,nan,Q
38,0,1,"Passenger, Name 38",female,38.0,2,1,A/5 5569,36.26,nan,C
39,1,3,"Passenger, Name 39",female,2.0,0,0,A/5 7353,35.22,nan,S
40,0,1,"Passenger, Name 40",male,22.0,0,0,A/5 3353,42.27,nan,S
41,0,3,"Passenger, Name 41",male,4.0,0,0,A/5 8437,10.7,nan,Q
42,0,3,"Passenger, Name 42",female,54.0,0,0,A/5 5799,41.29,nan,S
43,0,3,"Passenger, Name 43",male,38.0,0,0,A/5 1686,19.47,nan,C
